h1        1    1   7.148276000000000E-01  0
h2        2    1   2.850346000000000E-05  0
he3       3    2   3.390406000000000E-05  0
he4       4    2   2.711182000000000E-01  0
li6       6    3   6.457444000000000E-10  0
li7       7    3   9.266293000000001E-09  0
be9       9    4   1.398447000000000E-10  0
b10      10    5   9.580268000000001E-10  0
b11      11    5   4.193495000000000E-09  0
c12      12    6   2.511872000000000E-03  0
c13      13    6   2.984500000000000E-05  0
n14      14    7   7.362742000000000E-04  0
n15      15    7   2.998545000000000E-06  0
o16      16    8   6.092536000000000E-03  0
o17      17    8   2.461744000000000E-06  0
o18      18    8   1.367944000000000E-05  0
f19      19    9   3.886273000000000E-07  0
ne20     20   10   1.235043000000000E-03  0
ne21     21   10   3.111059000000000E-06  0
ne22     22   10   9.841669000000000E-05  0
na23     23   11   3.329284000000000E-05  0
mg24     24   12   5.020612000000000E-04  0
mg25     25   12   6.584307000000000E-05  0
mg26     26   12   7.507558000000000E-05  0
al27     27   13   5.647847000000000E-05  0
si28     28   14   6.421200000000000E-04  0
si29     29   14   3.410845000000000E-05  0
si30     30   14   2.331082000000000E-05  0
p31      31   15   6.483509000000000E-06  0
s32      32   16   3.354185000000000E-04  0
s33      33   16   2.747605000000000E-06  0
s34      34   16   1.591785000000000E-05  0
s36      36   16   7.883542000000001E-08  2
cl35     35   17   3.503463000000000E-06  0
cl37     37   17   1.171163000000000E-06  0
ar36     36   18   5.980355000000000E-05  1
ar38     38   18   1.148613000000000E-05  0
ar40     40   18   1.916318000000000E-08  2
k39      39   19   3.399981000000000E-06  0
k40      40   19   5.526945000000000E-09  3
k41      41   19   2.589378000000000E-07  0
ca40     40   20   5.922019000000000E-05  1
ca42     42   20   4.108065000000000E-07  0
ca43     43   20   8.787554000000000E-08  0
ca44     44   20   1.392609000000000E-06  0
ca46     46   20   2.774193000000000E-09  2
ca48     48   20   1.354028000000000E-07  2
sc45     45   21   3.922862000000000E-08  0
ti46     46   22   2.416165000000000E-07  1
ti47     47   22   2.200230000000000E-07  0
ti48     48   22   2.246913000000000E-06  1
ti49     49   22   1.661690000000000E-07  0
ti50     50   22   1.619222000000000E-07  2
v50      50   23   8.898708000000000E-10  3
v51      51   23   3.613340000000000E-07  0
cr50     50   24   7.401458000000000E-07  1
cr52     52   24   1.466636000000000E-05  0
cr53     53   24   1.716348000000000E-06  0
cr54     54   24   4.292577000000000E-07  2
mn55     55   25   1.290296000000000E-05  0
fe54     54   26   6.961839000000000E-05  1
fe56     56   26   1.118148000000000E-03  0
fe57     57   26   2.668078000000000E-05  0
fe58     58   26   3.578856000000000E-06  2
co59     59   27   3.397631000000000E-06  0
ni58     58   28   4.827917000000000E-05  1
ni60     60   28   1.943328000000000E-05  0
ni61     61   28   8.622931000000000E-07  0
ni62     62   28   2.771441000000000E-06  0
ni64     64   28   7.353719999999999E-07  2
cu63     63   29   6.021035000000000E-07  0
cu65     65   29   2.774897000000000E-07  0
zn64     64   30   1.038760000000000E-06  1
zn66     66   30   6.164149000000000E-07  0
zn67     67   30   9.045203999999999E-08  0
zn68     68   30   4.196090000000000E-07  0
zn70     70   30   1.430377000000000E-08  2
ga69     69   31   3.883261000000000E-08  0
ga71     71   31   2.640059000000000E-08  0
ge70     70   32   4.319604000000000E-08  1
ge72     72   32   5.857043000000000E-08  0
ge73     73   32   1.673722000000000E-08  0
ge74     74   32   7.935697000000000E-08  2
ge76     76   32   1.702866000000000E-08  2
as75     75   33   1.162581000000000E-08  0
se74     74   34   1.120967000000000E-09  1
se76     76   34   1.205502000000000E-08  1
se77     77   34   9.927845000000000E-09  0
se78     78   34   3.180168000000000E-08  2
se80     80   34   6.814794000000000E-08  2
se82     82   34   1.213916000000000E-08  2
br79     79   35   1.066582000000000E-08  0
br81     81   35   1.068691000000000E-08  0
kr78     78   36   3.912615000000000E-10  1
kr80     80   36   2.590908000000000E-09  1
kr82     82   36   1.330980000000000E-08  1
kr83     83   36   1.316572000000000E-08  0
kr84     84   36   6.677866000000000E-08  2
kr86     86   36   2.064729000000000E-08  2
rb85     85   37   1.070987000000000E-08  0
rb87     87   37   4.465621000000000E-09  2
sr84     84   38   2.783862000000000E-10  1
sr86     86   38   4.952861000000000E-09  1
sr87     87   38   3.547156000000000E-09  1
sr88     88   38   4.313530000000000E-08  0
y89      89   39   1.022696000000000E-08  0
zr90     90   40   1.215062000000000E-08  0
zr91     91   40   2.687862000000000E-09  0
zr92     92   40   4.112970000000000E-09  2
zr94     94   40   4.300421000000000E-09  2
zr96     96   40   7.123153000000000E-10  2
nb93     93   41   1.857213000000000E-09  0
mo92     92   42   8.998371000000000E-10  1
mo94     94   42   5.801033000000000E-10  1
mo95     95   42   1.018847000000000E-09  0
mo96     96   42   1.078092000000000E-09  3
mo97     97   42   6.268548000000000E-10  0
mo98     98   42   1.627882000000000E-09  2
mo100   100   42   6.613238000000000E-10  2
ru96     96   44   2.358681000000000E-10  1
ru98     98   44   8.158725999999999E-11  1
ru99     99   44   5.702149000000001E-10  0
ru100   100   44   5.628595000000000E-10  1
ru101   101   44   7.668870000000000E-10  0
ru102   102   44   1.442145000000000E-09  2
ru104   104   44   8.658735000000000E-10  2
rh103   103   45   9.188715000000000E-10  0
pd102   102   46   3.622549000000000E-11  1
pd104   104   46   4.049940000000000E-10  1
pd105   105   46   8.158545000000000E-10  0
pd106   106   46   1.013273000000000E-09  2
pd108   108   46   9.859464000000000E-10  2
pd110   110   46   4.485741000000000E-10  2
ag107   107   47   6.757944000000000E-10  0
ag109   109   47   6.424850000000000E-10  0
